date,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20,y21,y22,y23,y24,y25
2021-04-01,128533.64,121205.12000000002,1858453.1099999996,1002947.7900000002,245340.59,42310.23999999999,157200.28999999998,96527.09000000001,35484.899999999994,60672.34000000001,319126.69,26980.030000000006,60756.08,127585.31,190756.35000000003,110862.01999999997,76482.47,487008.18000000005,53833.46,2145861.7399999998,969279.1799999998,241817.65000000002,358662.33999999997,305816.98,113499.65
2021-05-01,132434.86,122920.22000000003,1916257.1599999997,1036795.3000000002,253372.63,43727.76999999999,159728.99999999997,98349.21,36079.52999999999,61487.30000000001,327114.22000000003,27477.430000000008,62373.22,129941.13,193827.77000000005,113251.30999999997,78726.22,495161.07000000007,54186.26,2279848.36,997424.6799999998,246744.88000000003,366121.82999999996,309801.37,115070.95
2021-06-01,136856.43,124386.23000000003,1978808.8799999997,1065732.81,262146.39,44792.56999999999,162641.54999999996,100488.79000000001,36524.97999999999,62225.55000000001,337097.15,28015.300000000007,63744.83,131860.13,197125.87000000005,115505.79999999997,81462.17,504413.98000000004,54933.4,2394586.5,1026833.9199999998,251388.46000000002,373133.26999999996,313460.19,117509.11
2021-07-01,142799.57,126031.04000000002,2036672.2499999998,1095048.9300000002,270987.59,46177.03999999999,165167.07999999996,102722.59000000001,37285.72999999999,63056.39000000001,346484.51,28347.480000000007,65194.93,135271.37,201451.89000000004,117941.33999999997,84087.76,514986.77,55265.66,2500700.15,1072398.9899999998,255919.73,381172.02999999997,316894.16,120657.31
2021-08-01,146123.99000000002,127298.44000000002,2057539.9499999997,1107502.4500000002,275332.44,47518.09999999999,166829.27999999997,104136.88,37663.25999999999,63740.670000000006,351607.63,28588.030000000006,66243.25,137356.87,204204.86000000004,119762.24999999997,85796.59,521286.13,55597.920000000006,2575518.02,1096866.4799999997,259080.07,386852.73,318745.93,122807.78
2021-09-01,151590.91000000003,128848.23000000001,2095257.5899999996,1136279.9300000002,283894.57,48843.09999999999,169619.10999999996,105900.39,38040.789999999986,64933.94,359879.59,29157.010000000006,68239.39,139560.86,208915.97000000003,121857.09999999998,88382.81,530217.49,56736.51000000001,2673792.2600000002,1128447.8199999998,263036.45,395065.48,321906.63,125175.13
2021-10-01,155132.91000000003,130267.07,2125370.4099999997,1154785.6500000001,290413.59,50138.26999999999,173742.63999999996,108201.67,38442.279999999984,66213.37,369653.30000000005,29667.920000000006,70381.49,141835.84999999998,213602.50000000003,123482.39999999998,90545.87,540819.2,57645.27000000001,2780381.5500000003,1162222.3699999999,266447.61,402545.01,327276.32,127616.21
2021-11-01,159867.27000000002,132650.18,2164090.09,1176359.4300000002,299919.83,51732.22999999999,177661.41999999995,109985.55,38947.21999999999,67468.48999999999,376793.61000000004,30002.890000000007,72723.43000000001,145510.16999999998,219069.30000000002,125021.93999999997,92953.75,559157.88,59529.890000000014,2850342.87,1195386.3599999999,271627.64999999997,412678.66000000003,330993.79,130548.82
2021-12-01,163371.35,135090.00999999998,2205704.5999999996,1195503.32,305408.44,53039.84999999999,180413.46999999994,111265.8,39853.429999999986,68119.73,385206.80000000005,30241.860000000008,75039.8,147989.05,224190.12000000002,126730.70999999998,95139.75,568287.25,60547.55000000002,2944474.8400000003,1225726.2599999998,274743.19999999995,419984.36000000004,334131.44999999995,132772.02000000002
2022-01-01,165798.19,136438.05999999997,2223626.5599999996,1211358.02,312226.75,54700.18999999999,183110.64999999994,112458.76000000001,40090.93999999999,69054.03,389980.22000000003,30661.69000000001,76661.32,149315.12,228035.2,127796.50999999998,97212.57,574954.65,61527.69000000002,2984516.8600000003,1247713.6499999997,277600.76999999996,426414.42000000004,337279.88999999996,135292.15000000002
2022-02-01,168254.18,138330.51999999996,2244383.4999999995,1228916.42,319398.52,55567.93999999999,185701.87999999995,113809.57,40632.36999999999,69845.4,395375.77,31164.49000000001,79600.04000000001,150960.3,231458.80000000002,128949.69999999998,100045.36,581851.24,62685.750000000015,3014173.0000000005,1269911.2799999996,280707.1,432780.53,340615.49999999994,136978.77000000002
2022-03-01,170507.58,140898.56999999995,2266466.8699999996,1248454.8199999998,326495.37,57410.36999999999,188001.39999999994,115425.44,41366.679999999986,70563.45999999999,402831.16000000003,31507.750000000007,81432.64000000001,152484.11,237173.72000000003,130396.88999999998,103134.97,587730.64,63536.710000000014,3047910.0200000005,1294058.7699999996,283589.85,438115.87000000005,346044.36999999994,138959.90000000002
2022-04-01,172916.72999999998,143916.19999999995,2292207.05,1263721.15,333685.52,58530.01999999999,190176.83999999994,116945.76000000001,41974.319999999985,71047.06999999999,408036.2,31728.680000000008,83587.60000000002,153977.77,241516.87000000002,131744.24,105352.48,600130.4,64843.42000000001,3084190.0400000005,1315044.3599999996,287428.32999999996,442994.22000000003,348565.13999999996,140885.55000000002
2022-05-01,174275.99,145989.90999999995,2309134.11,1278403.02,340344.72000000003,59697.45999999999,191466.16999999993,118257.33000000002,42438.61999999999,71315.62999999999,412057.38,31949.610000000008,85480.81000000003,154814.05,245984.40000000002,132664.9,108177.40999999999,603963.7000000001,65185.60000000001,3104477.2700000005,1334718.5499999996,290315.75999999995,445865.38,352158.76999999996,142647.91
